country,code,gdp_23
Aruba,ABW,
Africa Eastern and Southern,AFE,1236163044999.97
Afghanistan,AFG,
Africa Western and Central,AFW,796586157553.094
Angola,AGO,84722957642.3757
Albania,ALB,22977677860.7979
Andorra,AND,3727673593.01922
Arab World,ARB,3491516939569.88
United Arab Emirates,ARE,504173451327.434
Argentina,ARG,640591410663.883
Armenia,ARM,24212134631.064
American Samoa,ASM,
Antigua and Barbuda,ATG,2033085185.18518
Australia,AUS,1723827215334.71
Austria,AUT,516034144115.95
Azerbaijan,AZE,72356176470.5882
Burundi,BDI,2642161668.92754
Belgium,BEL,632216577075.109
Benin,BEN,19673284686.0023
Burkina Faso,BFA,20324617838.9676
Bangladesh,BGD,437415331040.994
Bulgaria,BGR,101584384672.786
Bahrain,BHR,43205000000.0
"Bahamas, The",BHS,14338500000.0
Bosnia and Herzegovina,BIH,27054889362.8852
Belarus,BLR,71857382745.6066
Belize,BLZ,3281500000.0
Bermuda,BMU,
Bolivia,BOL,45849832906.4139
Brazil,BRA,2173665655937.27
Barbados,BRB,6393564189.61345
Brunei Darussalam,BRN,15128292953.5098
Bhutan,BTN,
Botswana,BWA,19395765126.3127
Central African Republic,CAF,2555492085.24831
Canada,CAN,2140085567791.45
Central Europe and the Baltics,CEB,2252970882003.43
Switzerland,CHE,884940402230.409
Channel Islands,CHI,
Chile,CHL,335533331669.219
China,CHN,17794781986104.5
Cote d'Ivoire,CIV,78788828906.8634
Cameroon,CMR,47945510090.0529
"Congo, Dem. Rep.",COD,66383287002.9969
"Congo, Rep.",COG,15321055818.3263
Colombia,COL,363540156234.868
Comoros,COM,1352380972.15662
Cabo Verde,CPV,2587252076.3056
Costa Rica,CRI,86497941439.0174
Caribbean small states,CSS,53252637669.8953
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,32229622669.1951
Czechia,CZE,330858339871.686
Germany,DEU,4456081016705.96
Djibouti,DJI,4098530513.55777
Dominica,DMA,653992592.592593
Denmark,DNK,404198757537.974
Dominican Republic,DOM,121444279313.931
Algeria,DZA,239899491127.742
East Asia & Pacific (excluding high income),EAP,21150247849983.1
Early-demographic dividend,EAR,14847823837515.2
East Asia & Pacific,EAS,30775659199419.9
Europe & Central Asia (excluding high income),ECA,2098349713814.25
Europe & Central Asia,ECS,27240628835585.3
Ecuador,ECU,118844826000.0
"Egypt, Arab Rep.",EGY,395926075163.006
Euro area,EMU,15544858680873.8
Eritrea,ERI,
Spain,ESP,1580694712515.71
Estonia,EST,40744848827.9537
Ethiopia,ETH,163697927593.982
European Union,EUU,18349388450765.6
Fragile and conflict affected situations,FCS,1906801170087.86
Finland,FIN,300187202696.084
Fiji,FJI,5494797540.73365
France,FRA,3030904089607.9
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,460000000.0
Gabon,GAB,20516134388.6608
United Kingdom,GBR,3340032380668.04
Georgia,GEO,30535530479.0227
Ghana,GHA,76370394412.4163
Gibraltar,GIB,
Guinea,GIN,23612295818.0961
"Gambia, The",GMB,2339904156.79214
Guinea-Bissau,GNB,1966461400.35833
Equatorial Guinea,GNQ,12116922539.4112
Greece,GRC,238206312632.528
Grenada,GRD,1320334235.58897
Greenland,GRL,
Guatemala,GTM,102050473863.636
Guam,GUM,
Guyana,GUY,16786302158.2734
High income,HIC,67653743404264.1
"Hong Kong SAR, China",HKG,382054574298.529
Honduras,HND,34400509852.0436
Heavily indebted poor countries (HIPC),HPC,1130472157492.99
Croatia,HRV,82688842717.3926
Haiti,HTI,19850829757.7471
Hungary,HUN,212388906458.724
IBRD only,IBD,38733043068564.9
IDA & IBRD total,IBT,41559721641424.8
IDA total,IDA,2828041013610.35
IDA blend,IDB,1044015231915.96
Indonesia,IDN,1371171152331.16
IDA only,IDX,1786070910237.13
Isle of Man,IMN,
India,IND,3549918918777.53
Not classified,INX,
Ireland,IRL,545629450403.735
"Iran, Islamic Rep.",IRN,401504514718.718
Iraq,IRQ,250842782139.464
Iceland,ISL,31020032583.1972
Israel,ISR,509901495702.103
Italy,ITA,2254851212731.8
Jamaica,JAM,19423355367.2372
Jordan,JOR,50813642348.6746
Japan,JPN,4212945159781.4
Kazakhstan,KAZ,261421121085.572
Kenya,KEN,107440575838.048
Kyrgyz Republic,KGZ,13987627908.8381
Cambodia,KHM,31772759998.8571
Kiribati,KIR,279034355.108421
St. Kitts and Nevis,KNA,1077033111.11111
South Korea,KOR,1712792854202.37
Kuwait,KWT,161772221950.942
Latin America & Caribbean (excluding high income),LAC,6050580948759.95
Lao PDR,LAO,15843155731.2552
Lebanon,LBN,
Liberia,LBR,4332000000.0
Libya,LBY,50491722445.7773
St. Lucia,LCA,2519925938.52447
Latin America & Caribbean,LCN,7094329636592.51
Least developed countries: UN classification,LDC,1504251159792.01
Low income,LIC,646797730009.09
Liechtenstein,LIE,
Sri Lanka,LKA,84356860421.13
Lower middle income,LMC,7384750127842.02
Low & middle income,LMY,37425214512640.0
Lesotho,LSO,2046039024.45854
Late-demographic dividend,LTE,28341396914858.3
Lithuania,LTU,77836396962.772
Luxembourg,LUX,85755006123.5976
Latvia,LVA,43627078481.287
"Macao SAR, China",MAC,47061843715.8565
St. Martin (French part),MAF,
Morocco,MAR,141109373209.414
Monaco,MCO,
Moldova,MDA,16539436547.295
Madagascar,MDG,16031702914.9195
Maldives,MDV,6600000000.0
Middle East & North Africa,MEA,4287684126920.01
Mexico,MEX,1788886821046.81
Marshall Islands,MHL,284000000.0
Middle income,MIC,36786942112904.5
North Macedonia,MKD,14761237042.2057
Mali,MLI,20904898296.2501
Malta,MLT,20956999452.4317
Myanmar,MMR,64815031669.0952
Middle East & North Africa (excluding high income),MNA,1646554468701.67
Montenegro,MNE,7404541964.50779
Mongolia,MNG,19872180369.6275
Northern Mariana Islands,MNP,
Mozambique,MOZ,20624597846.5495
Mauritania,MRT,10452577062.7581
Mauritius,MUS,14397127281.3829
Malawi,MWI,14084341062.3675
Malaysia,MYS,399648828546.504
North America,NAC,29509296092073.6
Namibia,NAM,12351024843.7467
New Caledonia,NCL,
Niger,NER,16819170420.5653
Nigeria,NGA,362814951696.073
Nicaragua,NIC,17829215283.7997
Netherlands,NLD,1118124749886.29
Norway,NOR,485513316503.63
Nepal,NPL,40908073366.8455
Nauru,NRU,154127798.193541
New Zealand,NZL,253465703232.146
OECD members,OED,64098865773303.0
Oman,OMN,108192457737.321
Other small states,OSS,234402049500.765
Pakistan,PAK,338368455317.876
Panama,PAN,83382400000.0
Peru,PER,267603248655.253
Philippines,PHL,437146372729.942
Palau,PLW,263020733.717011
Papua New Guinea,PNG,30932496249.7917
Poland,POL,811229100687.566
Pre-demographic dividend,PRE,1562533897053.54
Puerto Rico,PRI,117902300000.0
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,287080013574.497
Paraguay,PRY,42956263543.9482
West Bank and Gaza,PSE,17396300000.0
Pacific island small states,PSS,11232231820.2487
Post-demographic dividend,PST,59851800976561.2
French Polynesia,PYF,
Qatar,QAT,
Romania,ROU,351002579629.67
Russian Federation,RUS,2021421476035.42
Rwanda,RWA,14097768647.6695
South Asia,SAS,4475567635413.06
Saudi Arabia,SAU,1067582933333.33
Sudan,SDN,109327023588.732
Senegal,SEN,31013986429.1861
Singapore,SGP,501427500080.059
Solomon Islands,SLB,1631286701.11516
Sierra Leone,SLE,3809832236.95959
El Salvador,SLV,34015620000.0
San Marino,SMR,
Somalia,SOM,11679800110.1523
Serbia,SRB,75187125426.7375
Sub-Saharan Africa (excluding high income),SSA,2030607752381.92
South Sudan,SSD,
Sub-Saharan Africa,SSF,2032749202553.06
Small states,SST,298978248910.632
Sao Tome and Principe,STP,603240748.954207
Suriname,SUR,3782437296.04323
Slovak Republic,SVK,132793622283.071
Slovenia,SVN,68216781410.5228
Sweden,SWE,593267701033.408
Eswatini,SWZ,4597855845.04276
Sint Maarten (Dutch part),SXM,1623165683.12849
Seychelles,SYC,2141450171.13932
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,1402054390.94734
Chad,TCD,13149325358.7383
East Asia & Pacific (IDA & IBRD countries),TEA,21124121301342.6
Europe & Central Asia (IDA & IBRD countries),TEC,5466276097557.08
Togo,TGO,9171261835.06264
Thailand,THA,514944993833.578
Tajikistan,TJK,12060602008.8478
Turkmenistan,TKM,59887334844.0651
Latin America & the Caribbean (IDA & IBRD countries),TLA,6772781697090.74
Timor-Leste,TLS,2243142908.46161
Middle East & North Africa (IDA & IBRD countries),TMN,1629170225345.52
Tonga,TON,
South Asia (IDA & IBRD),TSA,4475567635413.06
Sub-Saharan Africa (IDA & IBRD countries),TSS,2032749202553.06
Trinidad and Tobago,TTO,28139944790.2911
Tunisia,TUN,48529595416.6533
Turkiye,TUR,1108022373259.51
Tuvalu,TUV,62280311.5852172
Tanzania,TZA,79158286333.524
Uganda,UGA,49272882213.623
Ukraine,UKR,178757021386.809
Upper middle income,UMC,29403677430761.3
Uruguay,URY,77240831587.167
United States,USA,27360935000000.0
Uzbekistan,UZB,90889149306.7313
St. Vincent and the Grenadines,VCT,1065962962.96296
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Viet Nam,VNM,429716969049.593
Vanuatu,VUT,1126313359.21923
World,WLD,105435039507024.0
Samoa,WSM,934100336.275654
Kosovo,XKX,10438351483.1677
"Yemen, Rep.",YEM,
South Africa,ZAF,377781600985.873
Zambia,ZMB,28162630953.9285
Zimbabwe,ZWE,26538273498.8461
,AB,
,BA,
